"player","g","pa","ab","r","h","x2b","x3b","hr","tb","rbi","sb","cs","sh","sf","bb","ibb","hp","so","gdp","avg","slg","obp","team","year"
"Abe, Masahiro",14,18,14,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,2,0,0,0.067,"l",2012
"Akiyama, Shogo",107,450,403,50,118,17,8,4,163,37,10,5,15,1,28,0,3,70,7,0.293,0.404,0.343,"l",2012
"Asamura, Hideto",114,459,404,52,99,18,7,7,152,37,13,6,13,4,34,0,4,63,9,0.245,0.376,0.307,"l",2012
"Carter, Chris",59,138,126,9,37,8,0,4,57,27,0,0,0,1,10,0,1,22,3,0.294,0.452,0.348,"l",2012
"Fujita, Taiyo",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Fujiwara, Ryohei",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"German, Esteban",144,583,507,55,137,20,4,3,174,60,41,13,10,5,57,1,4,75,20,0.27,0.343,0.346,"l",2012
"Gonzalez, Enrique",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Hara, Takuya",86,138,113,12,19,4,0,0,23,3,1,0,7,1,14,0,3,22,1,0.168,0.204,0.275,"l",2012
"Hayashizaki, Ryo",5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Hirano, Masamitsu",3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"l",2012
"Hirao, Hiroshi",12,16,15,0,2,0,0,0,2,2,0,0,0,0,1,0,0,3,1,0.133,0.133,0.188,"l",2012
"Hoshi, Hidekazu",71,115,100,12,19,4,1,1,28,9,3,0,11,1,3,0,0,16,0,0.19,0.28,0.212,"l",2012
"Hoshi, Takanori",29,23,21,2,3,0,0,0,3,0,0,0,1,0,0,0,1,4,0,0.143,0.143,0.182,"l",2012
"Hoshino, Tomoki",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Ishii, Kazuhisa",24,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,"l",2012
"Ishikawa, Mitsugu",7,10,9,1,2,0,0,0,2,0,2,0,0,0,0,0,1,2,0,0.222,0.222,0.3,"l",2012
"Kataoka, Yasuyuki",52,231,204,26,46,6,1,2,60,19,8,7,7,4,15,0,1,30,6,0.225,0.294,0.277,"l",2012
"Kikuchi, Yusei",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Kimura, Fumikazu",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Kishi, Takayuki",26,10,9,2,3,0,0,0,3,0,0,0,1,0,0,0,0,4,0,0.333,0.333,0.333,"l",2012
"Koishi, Hirotaka",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Kumashiro, Masato",109,133,115,14,31,2,0,0,33,6,2,1,12,1,3,0,2,30,1,0.27,0.287,0.298,"l",2012
"Kuriyama, Takumi",103,467,394,57,114,17,1,2,139,33,3,1,12,3,52,0,6,62,4,0.289,0.353,0.378,"l",2012
"Makita, Kazuhisa",27,11,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,"l",2012
"Matsunaga, Hironori",56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Miyata, Kazuki",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Nagae, Kyohei",27,34,27,0,1,0,0,0,1,0,0,0,7,0,0,0,0,11,0,0.037,0.037,0.037,"l",2012
"Nakajima, Hiroyuki",136,567,499,69,155,29,1,13,225,74,7,6,1,6,52,3,9,76,10,0.311,0.451,0.382,"l",2012
"Nakamura, Micheal",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Nakamura, Takeya",123,498,432,54,100,16,1,27,199,79,2,3,0,1,56,1,9,125,11,0.231,0.461,0.331,"l",2012
"Nakata, Shota",2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Nishiguchi, Fumiya",14,6,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0.167,0.167,0.167,"l",2012
"Nogami, Ryoma",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Oishi, Tatsuya",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Okamoto, Atsushi",59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Okamoto, Yosuke",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Onizaki, Yuji",57,22,17,4,2,0,1,0,4,0,0,0,3,0,2,0,0,4,0,0.118,0.235,0.211,"l",2012
"Ortiz, Jose",64,214,199,20,57,8,0,9,92,21,0,1,0,0,14,0,1,38,8,0.286,0.462,0.336,"l",2012
"Osada, Shuichiro",53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Osaki, Yutaro",107,298,260,22,70,15,1,1,90,22,1,0,10,4,17,1,7,27,4,0.269,0.346,0.326,"l",2012
"Oshima, Hiroyuki",5,9,9,1,2,1,0,0,3,0,0,0,0,0,0,0,0,3,0,0.222,0.333,0.222,"l",2012
"Saito, Shogo",29,27,27,2,6,2,0,0,8,0,0,3,0,0,0,0,0,11,0,0.222,0.296,0.222,"l",2012
"Sakata, Ryo",16,50,44,4,10,0,0,0,10,3,0,0,2,0,4,0,0,12,1,0.227,0.227,0.292,"l",2012
"Sato, Tomoaki",12,16,14,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0.071,0.071,0.071,"l",2012
"Shima, Shigenobu",27,82,74,2,13,2,0,1,18,7,0,1,0,1,7,0,0,11,1,0.176,0.243,0.244,"l",2012
"Sumitani, Ginjiro",139,414,360,23,70,12,1,0,84,23,0,2,35,1,17,0,1,74,9,0.194,0.233,0.232,"l",2012
"Takayama, Hisashi",35,57,54,6,11,1,0,1,15,4,1,0,0,0,3,0,0,16,0,0.204,0.278,0.246,"l",2012
"Takekuma, Shota",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Tanaka, Yasuhiro",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Tashiro, Shotaro",5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Togame, Ken",41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Uemoto, Tatsuyuki",74,130,116,10,27,3,0,2,36,11,0,3,2,1,10,0,1,31,2,0.233,0.31,0.297,"l",2012
"Wakui, Hideaki",55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Williams, Randy",55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Yamamoto, Jun",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Yoneno, Tomohito",32,64,58,3,12,1,0,1,16,6,0,0,1,0,4,0,1,17,1,0.207,0.276,0.27,"l",2012
"Akiyama, Shogo",144,634,564,89,152,25,7,13,230,58,13,6,12,2,49,1,7,89,8,0.27,0.408,0.334,"l",2013
"Asamura, Hideto",144,620,543,85,172,38,5,27,301,110,14,8,7,4,61,3,5,88,9,0.317,0.554,0.388,"l",2013
"Carter, Chris",14,34,30,0,4,0,0,0,4,3,0,0,0,1,3,0,0,11,2,0.133,0.133,0.206,"l",2013
"Fujiwara, Ryohei",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2013
"German, Esteban",144,623,518,74,165,22,3,4,205,55,40,20,8,5,85,0,7,87,20,0.319,0.396,0.418,"l",2013
"Hayashizaki, Ryo",31,36,33,4,5,0,0,0,5,1,0,0,1,0,2,0,0,12,0,0.152,0.152,0.2,"l",2013
"Hoshi, Hidekazu",12,13,11,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0.154,"l",2013
"Hoshi, Takanori",40,29,28,0,5,0,0,0,5,1,1,0,0,0,0,0,1,6,0,0.179,0.179,0.207,"l",2013
"Ishii, Kazuhisa",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2013
"Ishikawa, Mitsugu",16,25,23,5,3,0,0,0,3,1,1,0,1,0,1,0,0,6,0,0.13,0.13,0.167,"l",2013
"Iwao, Toshihiro",10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2013
"Kaneko, Yuji",94,311,278,30,62,3,5,2,81,23,12,6,12,0,18,0,3,56,5,0.223,0.291,0.278,"l",2013
"Kataoka, Yasuyuki",72,300,259,41,75,5,0,4,92,28,9,1,15,0,24,0,2,35,4,0.29,0.355,0.354,"l",2013
"Kawasaki, Yusuke",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2013
"Kikuchi, Yusei",17,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,"l",2013
"Kimura, Fumikazu",11,16,14,1,3,1,1,1,9,1,0,0,1,0,1,0,0,8,0,0.214,0.643,0.267,"l",2013
"Kishi, Takayuki",26,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,"l",2013
"Koishi, Hirotaka",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2013
"Kumashiro, Masato",104,99,92,11,22,2,0,0,24,6,4,2,1,0,6,0,0,25,0,0.239,0.261,0.286,"l",2013
"Kuriyama, Takumi",144,637,527,77,147,29,3,12,218,73,6,3,1,4,99,2,6,96,8,0.279,0.414,0.396,"l",2013
"Makita, Kazuhisa",26,6,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,"l",2013
"Masuda, Tatsushi",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2013
"Matsushita, Kenta",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2013
"Misawa, Masaru",5,14,12,1,1,0,0,0,1,1,0,0,0,0,1,0,1,6,0,0.083,0.083,0.214,"l",2013
"Nagae, Kyohei",99,92,78,8,11,1,2,1,19,3,1,0,8,0,6,0,0,34,0,0.141,0.244,0.202,"l",2013
"Nakamura, Takeya",26,114,96,8,20,2,0,4,34,15,0,0,0,2,16,3,0,38,1,0.208,0.354,0.316,"l",2013
"Nakazaki, Yuta",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2013
"Nishiguchi, Fumiya",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2013
"Nogami, Ryoma",30,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,"l",2013
"Oishi, Tatsuya",37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2013
"Okamoto, Atsushi",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2013
"Okamoto, Yosuke",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2013
"Onizaki, Yuji",105,301,271,29,72,7,3,2,91,24,6,2,13,2,12,0,3,73,4,0.266,0.336,0.302,"l",2013
"Ortiz, Jose",29,111,100,6,21,5,0,0,26,9,0,0,0,1,7,0,3,24,3,0.21,0.26,0.279,"l",2013
"Osada, Shuichiro",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2013
"Osaki, Yutaro",84,208,184,14,46,6,0,1,55,13,0,0,5,3,11,0,5,29,5,0.25,0.299,0.305,"l",2013
"Saito, Shogo",8,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.5,"l",2013
"Sakamoto, Yataro",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2013
"Sakata, Ryo",53,195,180,17,52,11,0,6,81,34,1,2,0,1,13,1,1,39,7,0.289,0.45,0.338,"l",2013
"Sarfate, Dennis",58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2013
"Shima, Shigenobu",9,8,7,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0.143,0.143,0.25,"l",2013
"Spilborghs, Ryan",70,246,214,20,50,5,1,3,66,25,1,0,0,4,24,0,4,50,6,0.234,0.308,0.317,"l",2013
"Sumitani, Ginjiro",141,468,413,28,89,16,0,5,120,43,1,2,19,2,30,2,4,62,14,0.215,0.291,0.274,"l",2013
"Takahashi, Tomomi",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2013
"Takekuma, Shota",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2013
"Takeyama, Shingo",19,16,15,2,1,0,0,0,1,2,0,0,0,0,0,0,1,6,0,0.067,0.067,0.125,"l",2013
"Tashiro, Shotaro",8,1,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,"l",2013
"Togame, Ken",28,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,"l",2013
"Uemoto, Tatsuyuki",42,57,53,3,8,1,0,1,12,2,0,0,0,0,4,0,0,19,1,0.151,0.226,0.211,"l",2013
"Wakui, Hideaki",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2013
"Watanabe, Naoto",56,177,139,9,28,3,1,0,33,4,3,2,23,1,9,0,5,19,6,0.201,0.237,0.273,"l",2013
"Williams, Randy",47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2013
"Yamamoto, Jun",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2013
"Yamasaki, Koji",45,64,58,4,9,3,0,0,12,5,0,0,4,0,2,0,0,8,2,0.155,0.207,0.183,"l",2013
"Yoneno, Tomohito",3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,"l",2013
"Abreu, Abner",7,17,16,4,4,0,1,0,6,4,1,0,0,0,1,0,0,6,2,0.25,0.375,0.294,"l",2014
"Aiuchi, Makoto",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2014
"Akiyama, Shogo",131,561,475,64,123,24,6,4,171,47,3,3,11,2,70,2,3,98,4,0.259,0.36,0.356,"l",2014
"Asamura, Hideto",118,501,440,52,120,19,1,14,183,55,3,5,0,8,47,2,6,100,8,0.273,0.416,0.345,"l",2014
"Bowden, Michael",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2014
"Fujiwara, Ryohei",20,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,"l",2014
"Hayashizaki, Ryo",17,44,38,5,10,2,0,0,12,1,0,1,2,0,4,0,0,6,1,0.263,0.316,0.333,"l",2014
"Hirano, Masamitsu",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2014
"Hoshi, Takanori",11,13,13,2,1,1,0,0,2,0,0,0,0,0,0,0,0,3,2,0.077,0.154,0.077,"l",2014
"Ishikawa, Mitsugu",3,11,10,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0.091,"l",2014
"Iwao, Toshihiro",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2014
"Kaneko, Yuji",91,272,243,32,60,10,3,2,82,16,21,6,12,1,14,0,2,48,2,0.247,0.337,0.292,"l",2014
"Kikuchi, Yusei",23,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"l",2014
"Kimura, Fumikazu",100,330,284,34,61,13,2,10,108,27,16,8,21,2,20,0,3,112,3,0.215,0.38,0.272,"l",2014
"Kishi, Takayuki",23,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,"l",2014
"Kobayashi, Hiroyuki",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2014
"Koishi, Hirotaka",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2014
"Kumashiro, Masato",46,140,115,10,25,4,1,0,31,6,1,1,6,0,19,0,0,29,1,0.217,0.27,0.328,"l",2014
"Kuriyama, Takumi",144,642,532,64,153,34,4,3,204,61,3,2,2,9,96,2,3,100,9,0.288,0.383,0.394,"l",2014
"Makita, Kazuhisa",26,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,"l",2014
"Masuda, Tatsushi",44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2014
"Mejia, Ernesto",106,450,396,56,115,11,1,34,230,73,2,1,0,3,45,1,6,156,4,0.29,0.581,0.369,"l",2014
"Misawa, Masaru",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2014
"Miyata, Kazuki",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2014
"Mori, Tomoya",41,92,80,14,22,6,0,6,46,15,0,0,0,0,12,0,0,22,1,0.275,0.575,0.37,"l",2014
"Morimoto, Hichori",99,173,147,19,37,8,3,0,51,13,2,2,9,0,16,0,1,42,0,0.252,0.347,0.329,"l",2014
"Nagae, Kyohei",65,100,88,6,16,7,0,0,23,3,0,1,7,0,5,0,0,31,2,0.182,0.261,0.226,"l",2014
"Nakago, Taiki",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2014
"Nakamura, Takeya",111,466,382,68,98,19,1,34,221,90,0,0,0,3,79,0,2,124,13,0.257,0.579,0.384,"l",2014
"Nishiguchi, Fumiya",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2014
"Nogami, Ryoma",25,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,"l",2014
"Okada, Masatoshi",22,36,32,1,6,2,0,0,8,2,0,0,3,0,0,0,1,7,0,0.188,0.25,0.212,"l",2014
"Okamoto, Atsushi",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2014
"Okamoto, Yosuke",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2014
"Onizaki, Yuji",37,96,85,10,19,5,0,0,24,5,1,0,3,0,8,0,0,29,1,0.224,0.282,0.29,"l",2014
"Osaki, Yutaro",51,113,101,6,25,3,0,1,31,10,1,1,5,1,5,0,1,14,3,0.248,0.307,0.287,"l",2014
"Ransom, Cody",38,138,118,8,25,8,0,2,39,12,0,1,1,0,18,1,1,49,1,0.212,0.331,0.321,"l",2014
"Reynolds, Greg",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2014
"Saito, Shogo",89,127,107,19,24,1,1,2,33,10,12,2,6,0,14,0,0,42,0,0.224,0.308,0.314,"l",2014
"Sumitani, Ginjiro",125,423,381,31,77,13,1,7,113,36,0,2,20,3,17,0,2,74,10,0.202,0.297,0.238,"l",2014
"Takahashi, Tomomi",63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2014
"Takekuma, Shota",47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2014
"Takeyama, Shingo",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"l",2014
"Tanaka, Yasuhiro",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2014
"Togame, Ken",21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"l",2014
"Toyoda, Takuya",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2014
"Uemoto, Tatsuyuki",18,30,27,2,4,3,0,0,7,2,0,0,0,0,3,0,0,8,1,0.148,0.259,0.233,"l",2014
"Umeda, Naomichi",4,12,11,2,2,0,0,1,5,4,0,1,0,0,1,0,0,3,0,0.182,0.455,0.25,"l",2014
"Wakiya, Ryota",96,233,205,21,54,11,0,2,71,20,4,1,10,1,15,0,2,45,1,0.263,0.346,0.318,"l",2014
"Watanabe, Naoto",104,429,350,35,91,17,1,0,110,26,4,0,35,1,32,0,11,46,9,0.26,0.314,0.34,"l",2014
"Williams, Randy",60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2014
"Yamakawa, Hotaka",14,34,30,3,3,0,0,2,9,3,0,0,0,0,4,0,0,10,0,0.1,0.3,0.206,"l",2014
"Yamasaki, Koji",22,35,33,4,8,0,0,1,11,3,0,0,2,0,0,0,0,5,2,0.242,0.333,0.242,"l",2014
"Yoneno, Tomohito",12,21,19,1,4,0,0,0,4,5,0,0,0,2,0,0,0,4,1,0.211,0.211,0.19,"l",2014
"Akiyama, Shogo",143,675,602,108,216,36,10,14,314,55,17,17,7,2,60,2,4,78,6,0.359,0.522,0.419,"l",2015
"Asamura, Hideto",141,627,537,88,145,19,2,13,207,81,12,9,2,7,69,0,12,136,13,0.27,0.385,0.362,"l",2015
"Fujiwara, Ryohei",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2015
"Fukukura, Kentaro",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2015
"Iwao, Toshihiro",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2015
"Kaneko, Yuji",57,176,156,22,35,4,3,1,48,6,11,7,10,0,10,0,0,43,0,0.224,0.308,0.271,"l",2015
"Kikuchi, Yusei",23,4,4,0,1,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0.25,0.5,0.25,"l",2015
"Kimura, Fumikazu",49,92,82,12,16,4,1,5,37,12,1,0,4,0,4,0,2,28,0,0.195,0.451,0.25,"l",2015
"Kishi, Takayuki",16,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2015
"Koishi, Hirotaka",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2015
"Kumashiro, Masato",38,41,36,3,4,0,0,0,4,3,1,0,1,1,3,0,0,6,0,0.111,0.111,0.175,"l",2015
"Kuo, Chun-Lin",21,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,"l",2015
"Kuriyama, Takumi",142,622,533,66,143,25,0,10,198,42,3,1,8,4,72,0,5,88,15,0.268,0.371,0.358,"l",2015
"LeBlanc, Wade",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2015
"Makita, Kazuhisa",34,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"l",2015
"Masuda, Tatsushi",73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2015
"Mejia, Ernesto",135,525,473,52,111,31,0,27,223,89,0,0,0,2,45,1,5,153,14,0.235,0.471,0.307,"l",2015
"Mejia, Miguel",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2015
"Miyata, Kazuki",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2015
"Mori, Tomoya",138,531,474,51,136,33,1,17,222,68,0,4,0,3,44,3,9,143,5,0.287,0.468,0.357,"l",2015
"Morimoto, Hichori",12,15,12,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,0,0,0,0.143,"l",2015
"Nagae, Kyohei",54,30,22,6,4,0,1,0,6,4,0,0,5,0,1,0,2,13,0,0.182,0.273,0.28,"l",2015
"Nakamura, Takeya",139,599,521,82,145,35,0,37,291,124,1,0,0,3,68,4,7,172,12,0.278,0.559,0.367,"l",2015
"Nakata, Shota",8,12,9,0,0,0,0,0,0,0,0,0,1,0,2,0,0,5,0,0,0,0.182,"l",2015
"Nishiguchi, Fumiya",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"l",2015
"Nogami, Ryoma",27,6,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,"l",2015
"Oishi, Tatsuya",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2015
"Okada, Masatoshi",36,54,50,3,12,0,0,1,15,5,0,0,1,0,3,0,0,10,1,0.24,0.3,0.283,"l",2015
"Okamoto, Atsushi",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2015
"Okamoto, Yosuke",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2015
"Onizaki, Yuji",59,124,107,9,21,5,0,0,26,6,1,0,6,1,10,0,0,23,1,0.196,0.243,0.263,"l",2015
"Osaki, Yutaro",47,85,73,2,16,3,0,1,22,9,0,0,2,3,5,1,2,16,0,0.219,0.301,0.277,"l",2015
"Saito, Shogo",103,112,96,19,25,5,0,2,36,5,4,2,7,0,5,0,4,35,1,0.26,0.375,0.324,"l",2015
"Sakata, Ryo",15,42,41,0,6,2,0,0,8,1,0,0,0,0,1,0,0,10,1,0.146,0.195,0.167,"l",2015
"Sano, Yasuo",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2015
"Seratelli, Anthony",33,74,60,8,11,1,1,0,14,6,1,0,1,0,12,0,1,21,1,0.183,0.233,0.329,"l",2015
"Sumitani, Ginjiro",133,443,399,31,84,16,0,4,112,35,0,0,22,2,16,0,4,87,7,0.211,0.281,0.247,"l",2015
"Takahashi, Kona",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2015
"Takahashi, Tomomi",62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2015
"Takekuma, Shota",67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2015
"Tanaka, Yasuhiro",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2015
"Tashiro, Shotaro",7,7,7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0.143,0.143,0.143,"l",2015
"Togame, Ken",26,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,"l",2015
"Tonosaki, Shuta",43,110,97,16,18,3,0,1,24,4,9,1,6,0,6,0,1,30,1,0.186,0.247,0.24,"l",2015
"Toyoda, Takuya",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2015
"Uemoto, Tatsuyuki",6,14,13,1,2,0,0,0,2,1,0,0,0,0,1,0,0,2,1,0.154,0.154,0.214,"l",2015
"Vasquez, Esmerling",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2015
